TrainStep,MeanReward,StdReward,MaxReward,MinReward,MeanEpLength,StdEpLength,EvaluationTime,EvaluationEpisodes
  100000,  69.2,  25.1, 143.0,  34.0, 541.0, 322.8,0:02:53,      30
  200000, 105.5,  27.7, 168.0,  53.0, 835.9, 573.8,0:04:16,      30
  300000,  52.9,  37.4, 181.0,   0.0, 575.7, 467.5,0:03:00,      30
  400000, 181.2,  50.3, 265.0,  52.0, 928.9, 571.6,0:04:43,      30
  500000, 156.0,  65.0, 253.0,  57.0, 708.4, 465.4,0:03:45,      30
  600000, 191.2,  52.6, 278.0,  63.0, 771.2, 421.3,0:04:02,      30
  700000, 213.6,  43.3, 286.0,  87.0, 731.0, 376.0,0:03:46,      30
  800000, 261.9, 182.4, 700.0,  33.0, 656.0, 433.0,0:03:25,      30
  900000, 244.3, 106.2, 735.0, 121.0, 536.8, 210.6,0:01:18,      30
  999936, 285.3, 134.9, 689.0,  84.0, 617.6, 224.7,0:03:19,      30
