TrainStep,MeanReward,StdReward,MaxReward,MinReward,MeanEpLength,StdEpLength,EvaluationTime
  250000, 253.6,  64.7, 347.0,  93.0, 234.6,  83.1,0:02:16
  500000, 256.0,  70.4, 420.0,  72.0, 225.2,  91.1,0:02:17
  750000, 224.8,  44.9, 316.0, 102.0, 285.5, 136.9,0:02:56
 1000000, 176.3,  53.5, 254.0,  98.0, 263.4, 165.0,0:02:50
 1250000, 250.9,  52.9, 357.0, 101.0, 297.8, 194.9,0:03:06
 1500000, 181.7,  56.5, 268.0,  43.0, 289.1, 226.6,0:02:59
 1750000, 458.7, 252.0, 874.0, 231.0, 249.2,  60.9,0:02:24
 2000000, 237.9,  74.2, 333.0,   8.0, 261.0, 144.9,0:02:48
 2250000, 271.3,  53.5, 375.0, 111.0, 265.4, 103.9,0:02:45
 2499968, 301.7, 105.0, 830.0, 182.0, 245.0,  56.9,0:01:42
