TrainStep,MeanScore,StdScore,MaxScore,MinScore,MeanReturn,StdReturn,MaxReturn,MinReturn,MeanLength,StdLength,MaxLength,MinLength,EvalGhostsMean,Wins,EvaluationTime,TrainGhostsMean
 1000000, 408.2, 193.9,     891,     210, 276.9, 232.5, 841.0,  60.0, 554.4, 365.5,    2223,     159,   2.5,      15,0:05:01,   2.5
 2000000, 523.9, 240.0,     904,     212, 417.1, 289.2, 877.0,  62.0, 460.4, 249.1,    2114,     179,   2.5,      35,0:04:00,   2.5
 3000000, 529.0, 237.9,     925,     206, 415.9, 278.9, 925.0,  56.0, 504.8, 361.6,    2999,     115,   2.5,      35,0:04:30,   2.5
 4000000, 632.9, 223.6,     916,     235, 546.6, 265.4, 866.0,  85.0, 509.5, 236.1,    1505,     193,   2.5,      55,0:04:30,   2.5
 5000000, 543.8, 228.2,     879,     198, 443.2, 275.8, 873.0,  48.0, 543.6, 340.3,    2001,     137,   2.5,      41,0:05:03,   2.5
 6000000, 539.3, 261.7,     986,     194, 433.7, 308.3, 936.0,  44.0, 523.2, 376.7,    2518,     199,   2.5,      37,0:04:41,   2.5
 7000000, 771.9, 192.7,    1032,     196, 715.0, 230.6, 982.0,  46.0, 359.7, 230.6,    2215,     189,   2.5,      68,0:02:39,   2.5
 8000000, 731.9, 189.0,     943,     225, 675.0, 235.3, 913.0,  75.0, 381.8, 125.9,     893,     180,   2.5,      65,0:02:48,   2.5
 9000000, 628.0, 248.6,     946,     116, 549.3, 300.5, 946.0, -34.0, 505.9, 354.7,    2999,     101,   2.5,      50,0:03:41,   2.5
10000000, 798.6, 187.3,    1005,     203, 747.4, 224.5, 968.0,  53.0, 369.9, 149.4,    1460,     169,   2.5,      70,0:02:44,   2.5
