TrainStep,MeanScore,StdScore,MaxScore,MinScore,MeanReturn,StdReturn,MaxReturn,MinReturn,MeanLength,StdLength,MaxLength,MinLength,Wins,EvalEpisodes,EvalIdleStepsMean,EvalIdleEps,EvalGhostsMean,EvalLevelMean,EvalTime,TrainGhostsMean,TrainLevelMean
2000000,  483.1,  238.8, 938, 183,  370.6,  289.5,  935.5,   13.0,  465.6,  350.7,2999, 173,  41, 105,   10.8,104,    3.0,    1.1,0:05:55,    3.0,    1.1
4000000,  616.4,  222.5, 977, 216,  535.7,  272.0,  973.5,   65.0,  497.0,  317.5,2283, 167,  71, 105,    9.9,101,    3.0,    1.1,0:06:22,    3.0,    1.1
6000000,  562.9,  262.4, 999,  98,  453.5,  313.3,  893.5,  -60.0,  352.3,  127.9, 753,  47,  55, 105,   29.3,105,    3.0,    1.1,0:04:26,    3.0,    1.1
8000000,  595.7,  265.0,1027,  39,  479.1,  318.3,  970.0, -145.5,  437.1,  331.8,2999, 126,  58, 105,   50.3,105,    3.0,    1.1,0:05:37,    3.0,    1.1
10000000,  678.8,  243.8,1024, 204,  606.5,  291.7, 1024.0,   44.0,  374.4,  284.6,2999,  85,  73, 105,    6.5,87,    3.0,    1.1,0:04:45,    3.0,    1.1
12000000,  720.4,  240.0,1113,   4,  658.2,  284.2, 1072.0, -146.5,  338.8,   81.6, 662,  18,  82, 105,    3.4,92,    3.0,    1.1,0:04:14,    3.0,    1.1
14000000,  750.3,  214.1,1073, 190,  689.6,  251.9, 1023.0,   14.5,  342.2,  268.6,2999, 239,  86, 105,    8.9,74,    3.0,    1.1,0:04:26,    3.0,    1.1
16000000,  752.1,  199.9,1126, 192,  691.8,  238.4, 1025.0,   40.0,  298.7,   46.6, 516, 237,  87, 105,    2.5,57,    3.0,    1.1,0:03:54,    3.0,    1.1
18000000,  751.2,  225.3,1175, 224,  685.9,  282.1, 1172.5, -139.0,  403.3,  324.3,2999, 182,  80, 105,   18.2,81,    3.0,    1.1,0:04:58,    3.0,    1.1
20000000,  780.2,  205.4,1221, 189,  731.9,  242.7, 1170.0,   38.0,  293.3,   48.9, 548, 205,  90, 105,    3.2,73,    3.0,    1.1,0:03:47,    3.0,    1.1
